"speech_text","label","Nummer","speaker_name","speaker_party","Delegitimeren","Opmerking","Gericht op?","date","vergadernummer","id","title","jaar","populisme","kabinet_parlement"
"Voorzitter. Het vertrouwen tussen samenleving en politiek blijft broos. Bestaat er nog wel voldoende draagvlak voor het handelen en ingrijpen van de politiek? Ik wil dat dit kabinet werk maakt van het meenemen van mensen in de keuzes die het maakt. Daarmee bedoel ik niet zoiets plats als het inschakelen van een extra pr-bureau voor de communicatie over het grote eigen gelijk. Nee, een kabinet waar ik veel wethouders en pragmatici in zie, dreigt mensen te verliezen als het geen harten kan stelen, als het geen verhaal kan vertellen, en zeker als het niet luistert. Ik wil een kabinet dat ingewikkelde beslissingen op een begrijpelijke manier uitlegt, zodat communicatie van de overheid ook voor iedereen toegankelijk is. Er komt in december een advies van de commissie-Remkes over de vraag hoe we onze democratische rechtsstaat naar de huidige tijd kunnen trekken. Ik vraag: wacht u op Remkes, of is het kabinet zelf al voorbereid om de aanbevelingen snel hier te agenderen? Ik verwacht dat dit kabinet dat levert.
In tijden van onrust, nepnieuws en ingewikkelde boodschappen is onafhankelijke media belangrijker dan ooit. We zien in de VS wat er gebeurt als we die niet koesteren. Daarom roep ik het kabinet op om ook hier oog voor te hebben. Graag een reactie, want er ligt nog een klein vuiltje.","2",12,"De heer Pechtold","D66","2",NA,NA,2018-09-19,"nr. 2, item 5",394322,"5 Algemene Politieke Beschouwingen","2018-2019","Niet-populistisch","parlement"
"Voorzitter, dank u wel. Het zijn vandaag bijzondere Algemene Politieke Beschouwingen; dat blijkt wel tot nu toe. Meestal staan we hier als coalitiepartijen het beleid van het kabinet te ondersteunen en heeft de oppositie daar kritiek op. Maar vandaag voeren we het debat met een demissionair kabinet. Voor zover ik heb kunnen nagaan, is dat voor het eerst in onze parlementaire geschiedenis. Dat doen we terwijl dit kabinet inmiddels driedubbel demissionair is. In januari trad het volledige kabinet af naar aanleiding van de toeslagenaffaire. De documentaire Alleen tegen de staat laat pijnlijk treffend zien hoe de overheid ouders totaal heeft geïsoleerd, geruïneerd, vernederd en zonder enige uitweg heeft achtergelaten. Het vertrouwen van mensen in hun eigen overheid en daarmee ook in ons als politiek is daardoor bijna onherstelbaar beschadigd. Vervolgens zijn er in maart verkiezingen geweest, met ingrijpende consequenties voor het politieke landschap. Vorige week heeft een meerderheid van deze Kamer het handelen van het volledige kabinet als onverantwoord beoordeeld en afgekeurd.
Van zo'n driedubbel demissionair kabinet kunnen we niet verwachten dat het met allerlei nieuwe plannen en voorstellen komt. Dat zou deze Kamer terecht ook niet accepteren. De democratische legitimatie van dit kabinet is immers zeer beperkt. Ik heb daarom begrip voor de relatief beleidsarme begroting. Liever zou ik, en ik denk velen met mij, hier vandaag tegen een nieuw en fris kabinet hebben aangekeken, dat werk had kunnen maken van de grote opgaven van deze tijd, ook al in 2022.
Mijn fractie wil een constructieve bijdrage leveren, in welke rol dan ook. Er is D66 veel aan gelegen om van 2022 geen verloren jaar te maken. De plannen die dit kabinet gisteren heeft gepresenteerd, kunnen nog worden gewijzigd door een nieuw kabinet of, als dat niet op tijd lukt, door deze Kamer. Daarom waardeer ik ook de handreiking die collega Hermans van de VVD naar de constructieve partijen in het midden heeft gedaan om te kijken of we samen tot aanpassingen in deze begroting kunnen komen. Hopelijk leidt dat tot een akkoord over de Begroting 2022. Wie weet, smaakt het naar meer. Een stabiele en brede coalitie van partijen, die samen bereid zijn om zakelijke afspraken te maken om het land daadkrachtig te regeren.","1",13,"De heer Jetten","D66","2",NA,NA,2021-09-22,"nr. 2, item 5",625424,"5 Algemene Politieke Beschouwingen","2021-2022","Niet-populistisch","parlement"
"Ik had ook nog de vraag gesteld over het coronabeleid. Die vraag was: kan de premier het zich voorstellen dat je op een gegeven moment voor een parlementaire enquête of misschien zelfs voor een rechter terechtkomt, dat je je dan moet verantwoorden voor wat er is gebeurd en dat daar misschien zelfs een straf uit voortkomt? Ik heb al eerder samen met de heer Wilders een motie ingediend voor een parlementaire enquête. Ik snap dat dat in deze constellatie lastig is, maar kunt u het zich voorstellen en houdt u daar ook rekening mee?","2",14,"De heer Van Haga","Groep Van Haga","1","Bedreiging","Politici",2021-09-23,"nr. 3, item 5",612666,"5 Algemene Politieke Beschouwingen","2021-2022","Populistisch","parlement"
"Een parlementaire enquête kan natuurlijk altijd, maar een strafrechtelijke vervolging heb ik niet op de radar staan, nee.","2",15,"Rutte",NA,"2",NA,NA,2021-09-23,"nr. 3, item 5",612667,"5 Algemene Politieke Beschouwingen","2021-2022",NA,"kabinet"
"We hebben natuurlijk uitgebreid naar de VVD, naar mevrouw Hermans, geluisterd vanochtend. Ik heb dat concrete voorstel nog niet gehoord en niet gezien. Ik heb wel in de media gehoord dat er is gezegd dat er wat gedaan moet worden aan het opnieuw verder verhogen van de accijnzen per 1 januari. Dat steunt de SP van harte, om de simpele reden dat autorijden nu voor heel veel mensen al niet meer te betalen is. Je kan je bedenken dat het voor veel mensen een gigantisch probleem is als je straks bijna €2,50 aan de pomp moet aftikken voor een liter brandstof. Denk aan mensen die gewoon naar hun werk moeten, mensen die moeten mantelzorgen voor hun moeder of mensen die op een andere manier afhankelijk zijn van de auto. Dus jazeker, de SP wil absoluut dat de kosten voor brandstof niet nog verder stijgen. We willen ook — daar zou ik u graag voor willen uitnodigen, want ik zag dat u daar een mooi voorstel voor had — de kosten in het openbaar vervoer verlagen, want niet alleen de prijs van brandstof gaat omhoog, maar ook van de kaartjes voor het openbaar vervoer. Afgelopen twee jaar zijn de kosten met bijna 20% gestegen. Er zijn heel veel mensen die niet eens een auto kunnen betalen en die afhankelijk zijn van het openbaar vervoer, dus wij willen heel graag dat daar ook wat aan gebeurt. Dat zou bijvoorbeeld kunnen door de winstbelasting voor grote bedrijven te verhogen, zoals ik net al zei. Daar wordt nu heel veel winst gemaakt. Dan kunnen we dat geld inzetten zodat autorijden betaalbaar blijft voor mensen die een auto nodig hebben en het ov niet nog verder explodeert, zoals nu het geval is.","2",16,"Mevrouw Marijnissen","SP","2",NA,NA,2023-09-20,"nr. 2, item 5",762224,"5 Algemene Politieke Beschouwingen","2023-2024","Matig-populistisch","parlement"
"Het leek er even op dat mevrouw Hermans dacht: eureka, ik heb het licht gezien; we gaan scenarioplanning doen, omdat de toekomst onzeker is. Maar is er nou niemand onder de 150.000 ambtenaren geweest die heeft gedacht: als de toekomst onzeker is, gaan we iets korter plannen en gaan we scenario's uitwerken? Dat is toch vanzelfsprekend?","2",17,"De heer Azarkan","DENK","1",NA,"Ambtenaren",2022-09-21,"nr. 2, item 2",679739,"2 Algemene Politieke Beschouwingen","2022-2023","Niet-populistisch","parlement"
"Ik begin te begrijpen waar het probleem zit, want wat de minister-president als oplossing ziet, is juist onderdeel van het probleem. De politie wordt zelf gekort om haar eigen problemen op te lossen, maar de politie kan dat niet meer. De demonstratie van gisteren ging niet alleen maar over looneisen maar ging vooral — daarvoor heeft het CDA heel veel respect — over dienders die gewoon hun werk willen kunnen doen. Dat kunnen zij op deze manier niet. Deze periode gaan er 3.000 mensen uit en tegelijk moet er gereorganiseerd worden. Van de rechtspraak zegt de minister-president dat de oplossing ligt in huisvestingsvereenvoudigingen. Ja, dat is het sluiten van de rechtbanken in Assen, Almelo, Alkmaar, Maastricht en ga maar door. Dat is nu juist waarvan de Kamer zegt dat dat niet kan in een rechtsstaat en dat daar afspraken over zijn gemaakt. Als de minister-president als laatste zegt: ja, maar de Eerste Kamer moet ook een aantal wetten van mij aannemen, dan zit het probleem misschien wel in die wetten. Misschien is dan wel het probleem dat de Eerste Kamer, dan wel de Tweede, maar straks ook de Eerste Kamer, nu eenmaal om haar moverende redenen de rechtsstaat voor laat gaan. Dan kan de minister-president wel zeggen: ""als jullie dat allemaal regelen, is het geld opgelost en hoeven we niks meer te doen"", maar daar zit het probleem. Het gevolg is dat het OM zijn werk niet kan doen, dat de rechtspraak haar werk niet kan doen en dat de politie haar werk niet kan doen. Daarvoor is deze Kamer verantwoordelijk. Die roept de minister-president op voor de Justitiebegroting met meer geld te komen om deze knelpunten op te lossen. Als dat niet gebeurt, dan heeft hij een politiek probleem waarvan ik mij afvraag of hij op dit moment de omvang wel snapt.","2",18,"De heer Van Haersma Buma","CDA","2",NA,NA,2015-09-17,"nr. 3, item 6",118257,"6 Algemene Politieke Beschouwingen","2015-2016","Niet-populistisch","parlement"
"Voorzitter, mijn reactie op de heer Kuzu is dat de PVV eigenlijk pas is begonnen. Het is over, het is uit? We gaan nog minstens veertien jaar door met z'n allen, terwijl u terug bent in Turkije en denkt aan de tijd dat u hier in het Nederlandse parlement zat. Wij doen het voor de vrijheid. Wat betreft alle woorden van ""bloed"" en dergelijke onzin, allemaal platte retoriek: gaat uw gang, be my guest, heb er veel plezier in, kijk nog eens terug, maak er een leuk filmpje van en zet dat op Twitter. Maar het slaat werkelijk helemaal nergens op. Wat wij doen, is ervoor zorgen dat juist de ideologieën die de heer Kuzu met zijn vrienden nastreeft, in Nederland geen voet aan de grond krijgen. Het optreden van de heer Kuzu toont aan dat dit wetsvoorstel eigenlijk nog belangrijker is dan het vanmorgen was, toen ik het nog niet had ingediend.","1",19,"De heer Wilders","PVV","1","1.  Achtergrond: terwijl u terug bent in Turkije en denkt aan de tijd dat u hier in het Nederlandse parlement zat 2. Maar het slaat werkelijk helemaal nergens op","politici",2018-09-19,"nr. 2, item 2",380600,"2 Algemene Politieke Beschouwingen","2018-2019","Populistisch","parlement"
"Daar zijn bijna geen woorden voor. Dat raakt mij natuurlijk op een verschrikkelijke manier. Ik probeerde me net eigenlijk een voorstelling te maken van hoe al die verhalen bij elkaar in de door u genoemde film of documentaire een ingrijpend beeld moeten neerzetten. ""Graag"" is misschien niet het goede woord, maar ik ga wel graag op uw uitnodiging in. Ik vind het dus verschrikkelijk en ik voel mij met iedereen in deze Kamer en met iedereen in de politiek enorm verantwoordelijk en gemotiveerd om alles op alles te zetten om te verzachten wat wij kunnen verzachten. Ik las gister of vandaag een interview in een krant, volgens mij met een van de toeslagenouders, die zei: ""Compenseren gaat niet meer, want het is al gebeurd."" Maar ik hoop dat we iets kunnen verzachten en nog iets beter kunnen maken voor de toekomst van deze mensen. Ik ben het daarin dus eens met mevrouw Marijnissen.","2",20,"Mevrouw Hermans","VVD","2",NA,NA,2021-09-22,"nr. 2, item 2",619257,"2 Algemene Politieke Beschouwingen","2021-2022","Niet-populistisch","parlement"
"Mijn vraag is: hoe werkt het nou in de praktijk? Er wordt een criminele daad begaan en vervolgens komt het voor de rechter. Dus als het in een bepaald postcodegebied gebeurt, wordt de straf daarvoor verdubbeld. Dat is toch waanzin?","2",21,"De heer Kuzu","DENK","1","Rapporteren zonder onderbouwing & moraliserende termen","Rechtspraak",2018-09-19,"nr. 2, item 2",380835,"2 Algemene Politieke Beschouwingen","2018-2019","Niet-populistisch","parlement"
